Week,Open,Close
20121105,1,0
20121126,2,0
20121210,3,0
20121231,4,0
20130107,6,3
20130114,8,4
20130121,12,4
20130225,13,4
20130304,15,4
20130325,16,4
20130401,17,4
20130415,17,5
20130429,18,5
20130506,19,5
20130527,20,5
20130603,21,5
20130610,22,5
20130617,24,5
20130701,25,5
20130708,27,5
20130715,28,17
20130722,28,20
20130729,29,20
20130805,31,20
20130812,31,21
20130819,33,21
20130909,34,21
20130930,35,21
20131111,36,21
20131118,38,26
20131125,39,26
20131202,39,28
20131216,39,31
20131230,40,32
20140106,42,32
20140113,43,33
20140120,44,33
20140127,45,33
20140203,46,34
20140224,47,34
20140310,49,34
20140317,50,34
20140407,51,34
20140428,52,34
20140505,54,34
20140512,54,35
20140526,55,35
20140616,55,36
20140825,56,36
20140922,57,36
20141020,57,37
20141027,58,38
20141117,59,58
20141215,60,58
20141222,61,58
20141229,62,58
20150119,63,58
20150126,64,58
20150223,65,58
20150302,66,58
20150323,67,58
20150330,70,59
20150406,71,59
20150427,72,59
20150504,73,59
20150511,76,59
20150518,77,59
20150601,79,59
20150713,81,59
20150831,82,59
20150907,83,59
20151012,85,59
20151019,87,59
20151102,88,59
20151123,89,59
20151214,90,59
20151228,91,59
20160104,92,59
20160208,93,59
20160215,94,59
20160229,96,59
20160307,97,59
20160404,98,59
20160411,99,59
20160516,100,59
