Week,Open,Close
20140825,2,2
20140929,4,2
20141013,6,2
20141027,8,2
20141103,14,3
20141110,15,4
20141117,17,4
20141124,20,5
20141201,25,5
20141208,26,5
20141222,26,6
20141229,27,7
20150316,27,8
20150406,28,8
20150413,29,8
20150420,31,9
20150427,32,9
20150504,35,10
20150511,39,11
20150525,41,12
20150601,42,13
20150629,46,14
20150713,47,14
20150720,48,14
20150803,48,15
20150810,50,16
20150817,51,16
20150824,54,16
20150831,55,16
20150907,56,16
20150914,58,17
20151005,60,18
20151012,61,18
20151019,62,19
20151102,65,20
20151109,67,20
20151116,71,23
20151123,72,23
20151130,77,23
20151207,78,23
20151214,81,23
20151221,83,23
20151228,83,24
20160104,84,24
20160411,88,26
20160418,90,26
20160425,92,26
20160502,93,82
20160516,95,82
20160523,99,82
20160530,100,82
